tree_number	ui	name
B03.440.425.410.711.795.700	D048373	Treponema denticola
B03.440.425.410.711.795.840	D014210	Treponema pallidum
B03.440.425.410.722	D044063	Succinivibrionaceae
B03.440.425.410.745	D020628	Thauera
B03.440.425.410.748	D000084444	Thermotoga
B03.440.425.410.748.500	D020124	Thermotoga maritima
B03.440.425.410.748.750	D046949	Thermotoga neapolitana
B03.440.425.410.800.755	D045852	Pectinatus
B03.440.425.410.800.877	D020357	Selenomonas
B03.440.425.410.800.938	D014678	Veillonella
B03.440.425.410.875	D016968	Wolinella
B03.440.450	D006092	Gram-Negative Facultatively Anaerobic Rods
B03.440.450.009	D000188	Actinobacillus
B03.440.450.009.200	D044131	Actinobacillus equuli
B03.440.450.009.580	D016977	Actinobacillus pleuropneumoniae
B03.440.450.009.675	D044133	Actinobacillus seminis
B03.440.450.009.700	D044132	Actinobacillus suis
B03.440.450.019	D044044	Aeromonadaceae
B03.440.450.019.025	D000333	Aeromonas
B03.440.450.019.025.150	D057585	Aeromonas caviae
B03.440.450.019.025.380	D016980	Aeromonas hydrophila
B03.440.450.019.025.690	D048409	Aeromonas salmonicida
B03.440.450.019.025.845	D000070079	Aeromonas veronii
B03.440.450.040	D020627	Azoarcus
B03.440.450.342	D044065	Cardiobacteriaceae
B03.440.450.342.100	D044066	Cardiobacterium
B03.440.450.360	D002861	Chromobacterium
B03.440.450.400	D016970	Eikenella
B03.440.450.400.275	D016124	Eikenella corrodens
B03.440.450.425	D004755	Enterobacteriaceae
B03.440.450.425.180	D002157	Calymmatobacterium
B03.440.450.425.189	D000073182	Carbapenem-Resistant Enterobacteriaceae
B03.440.450.425.200	D002954	Citrobacter
B03.440.450.425.200.275	D016971	Citrobacter freundii
B03.440.450.425.200.475	D041041	Citrobacter koseri
B03.440.450.425.200.737	D044082	Citrobacter rodentium
B03.440.450.425.215	D059126	Cronobacter
B03.440.450.425.215.150	D044083	Cronobacter sakazakii
B03.440.450.425.260	D020594	Edwardsiella
B03.440.450.425.260.340	D020610	Edwardsiella ictaluri
B03.440.450.425.260.750	D020609	Edwardsiella tarda
